Sat Sep 19 16:12:18 2020    output.dat

         6275 function calls (6124 primitive calls) in 334.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1  334.884  334.884  334.884  334.884 {built-in method _winapi.WaitForSingleObject}
       67    0.016    0.000    0.016    0.000 {built-in method nt.stat}
        3    0.009    0.003    0.009    0.003 C:\Python38-32\lib\site-packages\click\_winconsole.py:177(write)
        1    0.008    0.008    0.008    0.008 C:\Python38-32\lib\stringprep.py:2(<module>)
        1    0.007    0.007    0.007    0.007 {built-in method _winapi.CreateProcess}
       30    0.005    0.000    0.005    0.000 {built-in method builtins.__build_class__}
        5    0.004    0.001    0.008    0.002 C:\Python38-32\lib\sre_compile.py:536(_compile_info)
       10    0.003    0.000    0.004    0.000 C:\Python38-32\lib\sre_compile.py:276(_optimize_charset)
       12    0.003    0.000    0.003    0.000 {built-in method io.open_code}
       12    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        4    0.002    0.001    0.012    0.003 {method 'write' of '_io.TextIOWrapper' objects}
       15    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
       12    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
       34    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    31/12    0.001    0.000    0.001    0.000 C:\Python38-32\lib\sre_parse.py:174(getwidth)
       12    0.001    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:969(get_data)
       12    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       12    0.001    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:849(get_code)
        2    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
     18/7    0.001    0.000    0.002    0.000 C:\Python38-32\lib\sre_parse.py:493(_parse)
       17    0.001    0.000    0.001    0.000 C:\Python38-32\lib\ntpath.py:124(splitdrive)
     15/4    0.001    0.000    0.068    0.017 <frozen importlib._bootstrap>:986(_find_and_load)
  122/118    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       14    0.001    0.000    0.018    0.001 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:63(_get_args_for_reloading)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:413(<listcomp>)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       14    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
       31    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:110(get_buffer)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\site-packages\click\_winconsole.py:280(_get_text_stdout)
     25/5    0.000    0.000    0.003    0.001 C:\Python38-32\lib\sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      422    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
       14    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\subprocess.py:517(list2cmdline)
        1    0.000    0.000    0.006    0.006 C:\Python38-32\lib\site-packages\werkzeug\debug\repr.py:2(<module>)
        6    0.000    0.000    0.001    0.000 C:\Python38-32\lib\ntpath.py:450(normpath)
       58    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:668(__getitem__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      205    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     15/4    0.000    0.000    0.068    0.017 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      411    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.033    0.033 C:\Python38-32\lib\site-packages\werkzeug\debug\__init__.py:2(<module>)
  402/373    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.011    0.011 C:\Python38-32\lib\site-packages\werkzeug\debug\console.py:2(<module>)
        1    0.000    0.000    0.018    0.018 {built-in method _socket.getaddrinfo}
     12/4    0.000    0.000    0.063    0.016 <frozen importlib._bootstrap>:650(_load_unlocked)
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      369    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      146    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:164(__getitem__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     12/4    0.000    0.000    0.062    0.016 <frozen importlib._bootstrap_external>:777(exec_module)
       90    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:233(__next)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
     13/5    0.000    0.000    0.002    0.000 C:\Python38-32\lib\sre_parse.py:435(_parse_sub)
       62    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        5    0.000    0.000    0.013    0.003 C:\Python38-32\lib\re.py:287(_compile)
     13/1    0.000    0.000  334.978  334.978 {built-in method builtins.exec}
        1    0.000    0.000    0.007    0.007 C:\Python38-32\lib\site-packages\werkzeug\debug\tbtools.py:2(<module>)
        1    0.000    0.000    0.001    0.001 C:\Python38-32\lib\sysconfig.py:1(<module>)
      119    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       26    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       24    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        3    0.000    0.000    0.013    0.004 C:\Python38-32\lib\site-packages\click\utils.py:179(echo)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        5    0.000    0.000    0.013    0.003 C:\Python38-32\lib\sre_compile.py:759(compile)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:738(encodekey)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\socket.py:219(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000  334.965  334.965 C:\Python38-32\lib\site-packages\werkzeug\serving.py:876(run_simple)
        1    0.000    0.000    0.001    0.001 C:\Python38-32\lib\os.py:705(copy)
        1    0.000    0.000  334.897  334.897 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:160(restart_with_reloader)
        1    0.000    0.000    0.007    0.007 C:\Python38-32\lib\subprocess.py:732(__init__)
       67    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:254(get)
        1    0.000    0.000    0.008    0.008 C:\Python38-32\lib\site-packages\werkzeug\_reloader.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       20    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       75    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\codeop.py:61(<listcomp>)
        7    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.010    0.003 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:193(write_plain_text)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.000    0.000  334.978  334.978 C:\Python38-32\lib\site-packages\flask\app.py:889(run)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        2    0.000    0.000    0.001    0.000 C:\Python38-32\lib\sre_compile.py:411(_mk_bitmap)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      4/3    0.000    0.000    0.023    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.003    0.003 C:\Python38-32\lib\getpass.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:284(__init__)
        2    0.000    0.000  334.885  167.442 C:\Python38-32\lib\subprocess.py:1349(_wait)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:338(_is_console)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1360(_clear_cache)
       58    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:732(check_str)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\win32.py:92(_winapi_test)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       10    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.007    0.007 C:\Python38-32\lib\subprocess.py:1224(_execute_child)
        2    0.000    0.000    0.020    0.010 C:\Python38-32\lib\encodings\__init__.py:70(search_function)
       21    0.000    0.000    0.000    0.000 C:\Python38-32\lib\random.py:721(getrandbits)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
       74    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\globals.py:6(get_current_context)
       13    0.000    0.000    0.000    0.000 C:\Python38-32\lib\enum.py:278(__call__)
       21    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x03056BF8}
        1    0.000    0.000    0.015    0.015 C:\Python38-32\lib\encodings\idna.py:3(<module>)
       49    0.000    0.000    0.000    0.000 C:\Python38-32\lib\os.py:691(__iter__)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\enum.py:828(__and__)
        5    0.000    0.000    0.002    0.000 C:\Python38-32\lib\sre_parse.py:937(parse)
       20    0.000    0.000    0.000    0.000 C:\Python38-32\lib\random.py:250(_randbelow_with_getrandbits)
       66    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:172(append)
       55    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\ansitowin32.py:116(get_win32_calls)
       12    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       74    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
